x,y,label
 -49.35040,  -2.23088,   2.00000
  12.56816, -24.44983,   1.00000
  22.30833, -27.83857,   3.00000
  59.24810,  -8.03679,   2.00000
 -33.28736,  14.84282,   6.00000
  47.09148,   7.58171,   3.00000
  33.89504,  19.14058,   3.00000
  47.68155,   1.50803,   3.00000
   1.06026,  40.54698,   4.00000
  51.01414, -24.88104,   4.00000
 -34.36197, -18.13794,   2.00000
 -31.43273,   3.74294,   6.00000
 -34.13098, -30.19237,   2.00000
 -30.93120,  30.23898,   6.00000
  12.83757, -23.06363,   2.00000
  10.24095,  23.88562,   4.00000
 -12.67271,  30.69451,   4.00000
  20.66136,  24.94876,   2.00000
  -5.69265,  28.87039,   2.00000
 -30.09480,  -7.45870,   2.00000
  -5.96914,   0.47460,   6.00000
   1.87532,  -9.76512,   1.00000
 -16.63414, -32.20373,   2.00000
  14.06378,  39.90594,   4.00000
  16.41631, -20.14019,   5.00000
 -34.80310,  -6.92305,   2.00000
 -10.70352,  45.43743,   4.00000
   4.32031,  33.65457,   4.00000
 -18.93460,  -2.37372,   6.00000
  -0.42922, -17.77702,   2.00000
  28.56980,  16.90884,   3.00000
  -4.29078,  43.28449,   4.00000
  -1.16474,  30.36734,   4.00000
   1.33663, -43.71784,   2.00000
  12.84276,   0.71722,   1.00000
  21.13876, -41.63830,   5.00000
  46.07079,  28.30969,   3.00000
   7.41102,   9.83418,   2.00000
 -12.51767, -22.22822,   2.00000
   6.76405,  -0.33812,   2.00000
  -5.40727,  51.29897,   4.00000
 -27.84081, -36.11163,   2.00000
 -35.78626,  15.38444,   6.00000
 -19.42515,  14.87978,   6.00000
  15.99799, -42.59985,   1.00000
 -49.39478,  -4.18968,   2.00000
 -43.15099, -23.60803,   2.00000
  16.64112,  12.54034,   4.00000
  -2.22896, -15.80269,   2.00000
  15.81778, -31.54662,   6.00000
  17.44129,  35.65667,   4.00000
  26.61016, -43.65901,   5.00000
   8.62586, -43.92989,   6.00000
  10.85898, -47.32489,   6.00000
 -14.79862, -29.32732,   2.00000
  29.32812,  22.26507,   6.00000
 -30.35257,  24.10480,   6.00000
  -1.62105,  -3.50246,   2.00000
  29.54602,   8.10603,   3.00000
  28.04126, -15.98810,   6.00000
 -12.10626,  23.95127,   6.00000
  37.89114,  -7.55380,   3.00000
 -31.67328, -29.05934,   2.00000
   5.64722, -15.77239,   1.00000
  19.64079, -34.63884,   5.00000
  18.33327, -43.07602,   2.00000
  -6.08266,  14.22246,   5.00000
  -1.61967,  41.74652,   4.00000
  23.71080,  25.55803,   4.00000
 -40.62858, -12.28968,   2.00000
  36.78340,  23.05482,   3.00000
  48.73339,  18.32152,   3.00000
   0.92535,  36.87654,   3.00000
   2.28730,  12.88038,   2.00000
  -5.06105,  13.64364,   5.00000
   4.74604,  40.58853,   6.00000
   1.97764,  22.64793,   6.00000
  28.81633,  30.69378,   3.00000
  28.45527,   3.54475,   6.00000
  51.63546, -20.68823,   1.00000
 -52.70280, -18.20838,   2.00000
  40.02476,  17.50434,   3.00000
 -42.07863,  10.21537,   2.00000
  -1.68890, -31.97392,   2.00000
  21.12844,   7.87479,   2.00000
 -25.85325,  21.83205,   4.00000
  44.89131,  -0.26407,   5.00000
  -5.08309,  -8.07588,   1.00000
   6.51438,  -4.38884,   2.00000
   0.16809,  46.91632,   4.00000
 -52.80001, -11.72289,   2.00000
 -55.46465, -24.50279,   5.00000
 -12.31371, -39.62879,   2.00000
  -3.40461,  20.66238,   6.00000
  26.98678, -15.03044,   5.00000
  10.49954,  51.04032,   4.00000
  10.78889, -26.71434,   2.00000
  28.75556,  29.92355,   3.00000
  42.56562,  -1.62654,   3.00000
  24.52497,  -3.40770,   2.00000
 -34.06367,  28.31865,   6.00000
 -10.91514, -18.91208,   2.00000
  25.66253,   2.98364,   3.00000
  -2.66229, -36.85894,   2.00000
 -14.90164, -45.70520,   6.00000
  12.62876,   2.41564,   1.00000
   9.70060,  12.53097,   6.00000
  36.95364, -17.92547,   5.00000
  14.20480, -10.43146,   1.00000
  -8.40104, -25.40060,   2.00000
  36.31449, -17.35739,   5.00000
 -59.99054, -16.64350,   2.00000
  12.91895,  -3.55998,   1.00000
  34.82846,  23.28944,   3.00000
  40.98788, -25.06294,   3.00000
 -10.16179, -15.02211,   2.00000
   7.83921,  35.67677,   4.00000
   0.98039,  17.46840,   3.00000
 -52.62095,  -3.56313,   2.00000
  -3.79002,  41.04887,   4.00000
  10.84708,  15.25338,   4.00000
 -25.71676,  -0.70932,   2.00000
  -3.94124,  43.03297,   4.00000
 -42.89473,  -6.19341,   2.00000
  10.42433, -27.56243,   2.00000
  13.61219, -15.27533,   2.00000
 -48.51822,  -7.16183,   2.00000
  -6.17424,  24.20833,   3.00000
  46.35140,  22.37279,   3.00000
 -19.50462, -24.16523,   2.00000
  15.46595, -23.03362,   5.00000
   7.43085,  -4.74869,   1.00000
  23.61707,  -6.98203,   2.00000
  -5.91615,  44.61711,   4.00000
  11.62909,  -7.36508,   1.00000
 -25.62294, -26.65048,   2.00000
 -24.42124, -34.11670,   2.00000
  39.72073, -17.81202,   2.00000
 -23.85607,  33.02926,   5.00000
  -2.73746,  10.51482,   2.00000
   3.48385,  -2.94642,   1.00000
 -14.61375,  12.04671,   6.00000
  -4.26748,  19.96125,   1.00000
 -12.48816,  19.87643,   6.00000
  35.22252,   4.57727,   3.00000
 -35.66493, -25.29743,   2.00000
  -7.81827, -18.88647,   5.00000
 -20.89397, -23.15574,   2.00000
 -44.28970,   4.28373,   2.00000
  12.06833,  34.37796,   4.00000
 -33.67050, -10.99831,   2.00000
 -22.87200,  41.69320,   6.00000
 -19.91111,  15.37194,   6.00000
   1.27751,  41.72662,   6.00000
 -27.57391, -31.04348,   2.00000
   2.81338,  10.66460,   2.00000
 -33.54065,  27.85184,   6.00000
  18.79897,  15.38473,   4.00000
  23.39937,  34.29509,   4.00000
 -19.63658, -43.98930,   2.00000
  43.04523, -11.92261,   3.00000
