x,y,label
  42.99210,  14.67731,   1.00000
 -10.42541, -13.87021,   0.00000
 -10.21672, -26.04918,   1.00000
   9.60044, -17.17537,   0.00000
  38.14822, -10.80920,   0.00000
  12.64933,  15.84541,   0.00000
 -12.97417, -44.88618,   0.00000
 -30.74952,  15.15677,   1.00000
 -10.59604,  -6.16299,   0.00000
   5.49821, -11.02657,   0.00000
 -21.91622,   6.71974,   1.00000
  15.87652,  18.75076,   0.00000
  22.08964,  21.21842,   0.00000
  29.79523,   9.05951,   0.00000
  -0.30141,  -2.64288,   0.00000
 -30.03016,   0.34874,   0.00000
   6.04609,  -5.69368,   0.00000
 -29.64893, -49.87395,   1.00000
  -8.52631, -31.44637,   1.00000
  20.73648, -15.39608,   0.00000
  13.93823, -34.92374,   0.00000
   0.52306, -36.12634,   1.00000
 -26.13020,  -9.69651,   1.00000
  23.31560,   5.84506,   0.00000
   7.84043,  24.67487,   0.00000
 -18.58418, -10.90712,   1.00000
  -3.92984,  14.36338,   0.00000
  10.45301,  32.18608,   0.00000
 -42.29968, -23.87750,   0.00000
  21.73007, -32.24248,   0.00000
   3.00548,   0.26037,   0.00000
 -36.34708, -10.37248,   1.00000
  47.67361,  -1.79582,   0.00000
 -14.54125, -10.78435,   1.00000
  -5.49872, -12.30264,   0.00000
   2.14846, -16.30929,   1.00000
  29.71567, -11.75485,   0.00000
  -1.83981, -29.31548,   1.00000
 -32.21034, -26.15043,   1.00000
  19.69922,  -0.69666,   1.00000
 -35.65841,   0.89774,   1.00000
  34.22348,  20.30086,   0.00000
  -7.73934,  -6.62094,   1.00000
 -30.90885, -49.82041,   1.00000
 -20.34046, -22.48794,   0.00000
  10.67209, -18.69339,   0.00000
  36.47742, -13.20256,   0.00000
  -0.54540,  12.10245,   1.00000
 -30.21782,  17.25809,   1.00000
  20.46825,  -7.04400,   1.00000
  -7.84556,  -5.19493,   0.00000
  -6.76598, -15.51361,   0.00000
  14.86888,  -2.48494,   0.00000
 -15.55977, -18.65202,   0.00000
 -38.62175,  -5.32992,   1.00000
 -32.68683,  23.52353,   1.00000
   2.27689, -24.49272,   1.00000
 -16.25525, -29.05997,   1.00000
  -2.91702, -30.84057,   1.00000
   8.75648,   7.55198,   1.00000
 -16.88625,  13.71592,   0.00000
   8.77222,   3.00704,   1.00000
  11.51759,  -7.05960,   0.00000
 -30.21823,  17.25275,   1.00000
 -15.55586,  34.80453,   1.00000
 -24.24639, -28.97262,   0.00000
   6.56136,  43.37239,   0.00000
 -18.37907, -16.31054,   1.00000
  11.60405, -20.91275,   0.00000
   5.23033,  26.93373,   0.00000
 -12.29035,  23.69773,   1.00000
  13.28384, -29.72637,   0.00000
   2.64750,  13.39683,   0.00000
   0.92651,  12.71216,   0.00000
 -17.63865, -47.43460,   0.00000
  19.70752, -27.75792,   0.00000
  18.31897, -12.99540,   1.00000
  -2.19968,  -7.15890,   0.00000
   1.21546,   0.45861,   0.00000
   6.63467,  27.42261,   1.00000
   2.61356, -48.25693,   0.00000
   7.86882,  24.60792,   0.00000
   9.14365,  -6.48668,   1.00000
   6.74372, -42.90883,   0.00000
  19.70943,  -4.62728,   1.00000
  26.19998,  -7.13400,   1.00000
 -20.89013,  29.22958,   1.00000
 -30.11424,   7.60278,   0.00000
   1.30276, -18.83554,   1.00000
   0.81918,  -5.07381,   1.00000
  38.70799,   9.44026,   0.00000
 -12.67113,  -7.33179,   1.00000
  27.28027, -32.99522,   0.00000
 -12.93432,  21.96502,   1.00000
 -11.49832, -46.21683,   0.00000
 -17.12074,  -8.42041,   0.00000
 -23.17356,  -9.98625,   0.00000
  16.15738,  11.03237,   1.00000
  -6.19352, -37.10153,   1.00000
  -0.39127,  30.05409,   0.00000
  26.96135,  22.22571,   0.00000
   0.69628,  32.91759,   0.00000
 -26.33414, -18.61777,   1.00000
 -20.65507, -30.23837,   1.00000
   4.38459,  35.74061,   0.00000
  -7.66843,  -3.72291,   1.00000
 -31.14906,  -6.99122,   1.00000
  15.25003,  19.30327,   0.00000
 -14.33722, -18.63916,   1.00000
   1.29038,  16.13873,   1.00000
  10.32957,   8.34429,   1.00000
 -11.65603,  -3.04487,   1.00000
 -18.48362,  22.77559,   0.00000
 -15.82454,  29.49204,   0.00000
   1.48679,  38.72850,   0.00000
  20.70295,  24.90760,   0.00000
  -2.24118,   7.75591,   0.00000
  -2.29465, -21.05577,   1.00000
  18.87784,   4.90628,   0.00000
  30.50645,  10.39805,   0.00000
  10.32391,  -3.69861,   1.00000
  -8.10194,   9.87728,   1.00000
   0.01506,  -0.12433,   0.00000
   9.74450, -10.84026,   0.00000
 -37.70846,  12.95957,   0.00000
 -34.29325,  -0.70144,   1.00000
   6.87221,   0.26877,   1.00000
  -7.69553,  -6.51953,   0.00000
 -37.55610,  24.03485,   1.00000
   8.75994,  20.02295,   0.00000
  -1.12961, -38.47437,   1.00000
  11.41936,  33.62034,   0.00000
   6.71985, -40.45137,   1.00000
 -37.72950, -16.72717,   1.00000
   0.79232,  17.79175,   0.00000
   6.69605, -20.41178,   0.00000
  -1.62039, -25.22877,   0.00000
 -16.21365,   2.26321,   1.00000
  31.08617,  -3.54112,   0.00000
   0.57047,  -3.80978,   0.00000
  20.68996,  23.49853,   0.00000
   4.51349,  27.96760,   1.00000
  31.46155,  14.32394,   0.00000
  -4.68320, -39.51522,   0.00000
   9.87594, -25.63059,   0.00000
 -13.22762,  15.80431,   0.00000
  24.97852,  21.59761,   0.00000
  35.99226,  17.34715,   0.00000
  -4.01097, -44.75932,   0.00000
 -12.99854, -32.80053,   1.00000
 -18.91877,  33.30568,   1.00000
 -20.43822,  39.65301,   1.00000
  10.52760, -38.82876,   1.00000
  10.74379,  -1.77405,   1.00000
  32.37458, -19.57668,   0.00000
 -17.45946, -19.05549,   0.00000
   1.05370,   6.04058,   1.00000
 -35.14813, -11.81417,   1.00000
  -4.82632,  17.13426,   0.00000
  40.27822,   2.50063,   0.00000
  29.17793, -13.25996,   0.00000
  -1.84795,   8.13977,   1.00000
 -25.70877,  15.34073,   0.00000
 -35.89545, -35.61652,   0.00000
 -16.12322,  30.80771,   0.00000
  -8.03192,  32.56154,   0.00000
  17.56344,  17.54822,   1.00000
 -34.24678, -14.45996,   1.00000
 -17.16822, -38.14490,   1.00000
  21.61922,  25.84203,   0.00000
  17.64519,   9.92609,   1.00000
 -32.42951, -15.54306,   0.00000
   9.74575,  23.68666,   1.00000
  23.29520,   9.49140,   0.00000
  21.46129,  -9.47786,   0.00000
 -26.07909, -36.58892,   1.00000
 -15.77887,  24.41832,   0.00000
 -11.64746, -27.91817,   1.00000
   4.06718,  24.97508,   0.00000
   5.13818,  -5.20630,   0.00000
 -28.11251,  14.42900,   1.00000
  17.08970,  24.58347,   0.00000
 -38.70102,  -5.34990,   1.00000
 -29.18425, -11.11303,   1.00000
   4.41092,   1.48242,   1.00000
 -26.94324,  -6.05459,   1.00000
 -15.31641,  15.63589,   0.00000
   9.64070,  25.68898,   0.00000
 -18.01962,   5.49090,   1.00000
  10.42310,  36.97478,   1.00000
   5.59946,  -6.89070,   1.00000
  -6.86021,  29.82443,   0.00000
  25.73826, -21.34324,   0.00000
  34.75401,   1.57683,   1.00000
  11.45767, -29.92326,   0.00000
 -38.95353,  19.97937,   1.00000
 -17.59392,  35.14046,   0.00000
   6.04740,  21.78487,   1.00000
 -11.93737,  -9.30709,   1.00000
  -8.02747,   2.22774,   1.00000
   0.96581,   6.02388,   1.00000
   5.66143, -48.83941,   1.00000
  -5.47726,  -2.38210,   0.00000
 -19.05014,  10.25116,   1.00000
  -3.16860,  13.61358,   1.00000
  11.02229,   3.64470,   1.00000
   6.40626,  24.48945,   0.00000
  -5.84064, -14.80568,   1.00000
   5.73127, -11.59029,   1.00000
 -25.98651,  -8.88781,   1.00000
 -14.17849, -50.56123,   0.00000
 -36.61494,  22.73744,   1.00000
 -11.33647, -11.65555,   1.00000
 -10.59259, -32.05933,   1.00000
  -3.32016,  17.19873,   1.00000
  25.19042,  23.21715,   0.00000
  12.57428,  19.90878,   1.00000
  45.41883, -13.82652,   1.00000
  18.52954, -18.51776,   0.00000
  -7.88514,   2.28045,   0.00000
  24.93766,   2.78224,   0.00000
   5.54292,   8.42147,   0.00000
   9.76171,  13.23287,   0.00000
  29.94798,   8.27159,   1.00000
 -31.05991,   6.40875,   1.00000
  -0.52556, -16.15787,   0.00000
 -12.11533,  -9.12661,   0.00000
   4.84471,  11.14496,   1.00000
  22.99355,  14.08977,   0.00000
  21.05414,   7.77691,   1.00000
  14.21836,  -8.64879,   0.00000
 -29.76274,   0.88418,   0.00000
  -0.72562,  27.75296,   0.00000
   2.03282,   6.82624,   1.00000
 -38.01686, -23.94482,   1.00000
  14.96571,   9.57327,   1.00000
 -27.94979,  -0.50038,   1.00000
 -36.78603,  -6.40910,   1.00000
  -9.99285,  12.05140,   1.00000
  -1.38346,   1.63451,   0.00000
